title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
Topics in History: HistoryLabs II,"This research seminar is a HistoryLab course that will investigate unsolved or un-prosecuted cases of racial violence and police misconduct in the city of Detroit during the 20th Century. Members of the seminar will work in teams, conduct archival and database research, interview historical participants, and collaborate in creating website exhibits and other online publications that combine historical narratives with documents, images, and interactive maps. This seminar will be the third project of the Policing and Social Justice HistoryLab, a component of the UM Carceral State Project and a multiyear initiative to research the history of policing and criminalization in Detroit and to provide a comprehensive accounting of homicides by law enforcement. Student teams will investigate topics that range from the extraordinary violence of the 1920s era of Prohibition of alcohol to the wave of deadly force in the 1990s that resulted in federal oversight of the Detroit Police Department. This lab/seminar will take students off campus, including multiple research trips to Detroit, and produce investigative reports designed to contribute historical knowledge to current debates over policing and crime, racial and social justice, and mass incarceration in modern America. “Cold Cases” is a pilot project of the UM HistoryLabs program, established in 2018 by the History Department to promote public engagement through student-faculty research collaborations and to enhance career skills through applied research, digital technologies, and multimedia publishing platforms. Learn more and view previous research publications at the Policing and Social Justice HistoryLab website.","Lassiter,Matthew D",HISTORY,491,"Winter 2022, ",Section 001," - Cold Cases: Police Violence, Crime, and Social Justice in Michigan",3,,,With permission of instructor.,,,May not be repeated for credit.
History Colloquium,"Were they mad or did they lead boringly routine lives—eating lentils, tending gardens, reading, and praying? Why would anyone choose to live on top of a pillar whipped by wind and rain? What is achieved by speaking to others in your house only for a few hours one day a week and for the rest keeping silent? And did Teresa of Avila in ecstasy really levitate above ground, when she was also the woman who rode mules and ate partridges with gusto, founding convents and proving herself a wily business woman? The monastic venture would seem an impossible one: the aspiration to achieve oneness with the divine while grappling with human limitations and frailities. Yet the monks and mystics we will encounter between the fourth and sixteenth centuries CE altered landscapes, created and maintained interregional travel networks, and established communities that have endured into our century. Many also brewed (still brew) the best beer. This seminar will consider what appears foreign and pre-modern about the monastic vocation, and where the counter-culture of monks and mystics may remind us that another reality is always possible.","Poteet,Ellen Spence",HISTORY,496,"Winter 2022, ",Section 001," - Monks & Mystics: Spiritual Striving in Medieval Europe and Byzantium
Monks & Mystics: Spiritual Striving in Medieval Europe and Byzantium",4,ULWR,,With permission of department.,HISTORY 202.,,May be repeated for a maximum of 8 credit(s).  
History Colloquium,"An exploration of the social, cultural, economic and legal dimensions of seventeenth- and eighteenth-century Anglo-American maritime life that scrutinizes the work of common laborers and situates their work in the expanding Atlantic economy. Topics include: captains, sailors, female and black mariners, pirates, Captain Kidd, privateers, ship-building, medicine, scurvy, map-making, longitude, Captain Cook, commodity trade, naval warfare, mutiny, Captain Bligh, shipwreck, and developments in admiralty law.","Hancock, David  ",HISTORY,496,"Winter 2022, ",Section 002, - The World of the Ship,4,ULWR,,With permission of department.,HISTORY 202.,,May be repeated for a maximum of 8 credit(s).  
History Colloquium,"Peace has been a central concept in Islam from its inception, addressed extensively in the Qur'an and the sayings and doings of the Prophet. Throughout Islamic history, philosophies of peace and conflict resolution have been important parts of this tradition. As in the Bible and in Judaism and Christianity, peace thought and practices have co-existed with ideas about war. With regard to the study of Islam, however, academic scholarship has been one-sided in concentrating on war. This course attempts to address this imbalance through a series of case studies. It surveys ideas of peace the late antique world, in the Qur'an and early Islam, and in medieval Sufism. The course then addresses the age of European empire and Muslim peace movements, from Gandhism to Senegalese Muridism. It concludes by looking at modern Muslim conflict resolution and youth movements.","Cole,Juan R",HISTORY,497,"Winter 2022, ",Section 001, - Peace and Peace Movements in Islam,4,,,With permission of department.,HISTORY 202.,,May be repeated for a maximum of 8 credit(s).  
History Colloquium,"The American Civil War is an epic story, that of the most important conflict in American history, one that reverberates strongly to the present day. And yet it was also a real experience that was lived by millions of individuals in their own individual ways. This capstone seminar will explore the Civil War era through biography and the first hand accounts of former slaves turned soldiers, southern plantation mistresses, poor soldiers, and many others. The course will culminate in students writing a biography based on the Civil War letters and diaries available at libraries on campus.","Spooner,Matthew Patrick",HISTORY,497,"Winter 2022, ",Section 002, - Living the Civil War,4,,,,HISTORY 202.,,May be repeated for a maximum of 8 credit(s).  
History Colloquium,"After reviewing the scope of European expansion into Asia and Africa in the sixteenth and seventeenth centuries, the course introduces the intimate voices and actions of the Europeans on the Japanese archipelago who sought to ""save"" souls, and beat the other rival colonizing forces. Amidst rampant warfare, Japanese samurai were jolted by the arrival of ""Europe."" After a shipwreck ""discovered"" Japan in 1543 and introduced guns, the Portuguese Jesuits followed it with the Bible, a tiger and other goods from Asia and Africa. Camouflaging their sovereign's raw political ambition with evangelism and commerce, the priests admired the samurai's strict rule and decried women's mobility and easy lifestyle, though not as much as did the normalized practice of male-male sex. They astutely studied the Japanese language, expressed Christian God in Buddhist terms, won some converts, and took East Asians as slaves along with those from Africa. The supreme warlord Oda Nobunaga welcomed the Europeans but Hideyoshi, his successor, began an anti-Christian move, while taking his own expansionist urge to invade Korea. By the mid-seventeenth century, Christianity was entirely forbidden on the soil of the Japanese archipelago.   This is a seminar-style course for juniors and seniors. Evaluation is based on in-class participation, report on museum artifacts, comments on films, occasional quizzes, analysis of source materials, such as writings by warriors, Korean officials, and European missionary-traders, and a five-page final paper, or an alternative presentation, such as a website on a focused topic. By taking this course, students will become acquainted with a pattern of global expansion that is often skipped over in Europe-centered courses. They will learn about the clash and confluence of cultures and beliefs, and the first-time awareness of visual ""racial"" differences on the archipelago.   All readings will be uploaded to CANVAS.","Tonomura,Hitomi",HISTORY,497,"Winter 2022, ",Section 003," - Christians in the Land of the Samurai: Race, Tigers, Slavery, and Tea",4,,,With permission of department.,HISTORY 202.,,May be repeated for a maximum of 8 credit(s).  
Junior Honors Colloquium,"Studies in historical philosophy and in the history of historical writing. Readings, reports, and discussions related to the senior thesis project.
HISTORY 498, the Junior Honors Colloquium, provides a rigorous introduction to historical research in general and Honors thesis topics and research in particular. During this course, students must arrive at a topic and obtain an advisor for their senior Honors thesis. This course also provides intensive training in writing. Students are expected to achieve at least a B+ in this course in order to go on to the Senior Honors Colloquium.
HISTORY 498 is offered only in the winter term and is the foundation for work on the senior Honors thesis. Students who cannot fit this course into their schedules will generally not be admitted to the program (with exceptions for study abroad). Admitted juniors studying abroad during the winter term will have HISTORY 498 waived, but will be expected to consult with the Honors advisor about finding an advisor and writing a prospectus while they are away. They will also need to complete HISTORY 496 or 497 in its place. ","Mills,Kenneth",HISTORY,498,"Winter 2022, ",Section 001,,4,,Honors,With permission of department.,"Honors students; junior standing, and permission of instructor.",,May not be repeated for credit.
Junior Honors Colloquium,"Studies in historical philosophy and in the history of historical writing. Readings, reports, and discussions related to the senior thesis project.
HISTORY 498, the Junior Honors Colloquium, provides a rigorous introduction to historical research in general and Honors thesis topics and research in particular. During this course, students must arrive at a topic and obtain an advisor for their senior Honors thesis. This course also provides intensive training in writing. Students are expected to achieve at least a B+ in this course in order to go on to the Senior Honors Colloquium.
HISTORY 498 is offered only in the winter term and is the foundation for work on the senior Honors thesis. Students who cannot fit this course into their schedules will generally not be admitted to the program (with exceptions for study abroad). Admitted juniors studying abroad during the winter term will have HISTORY 498 waived, but will be expected to consult with the Honors advisor about finding an advisor and writing a prospectus while they are away. They will also need to complete HISTORY 496 or 497 in its place. ","Tanielian,Melanie Schulze",HISTORY,498,"Winter 2022, ",Section 002,,4,,Honors,With permission of department.,"Honors students; junior standing, and permission of instructor.",,May not be repeated for credit.
Senior Honors Colloquium,"Senior Honors seminar for thesis writers.
HISTORY 499, the Senior Honors Colloquium, is a year-long writing workshop led by a faculty member which includes all seniors writing Honors theses. Although the thesis is written primarily under the guidance of the faculty advisor, students help one another with projects in the workshop by sharing experiences, advice, interests, and, ultimately, portions of their theses. Completed theses, which must be submitted by April 1, usually range anywhere from 60 to 100 pages. They are evaluated by the advisor and one or more other faculty, on the basis of the quality of the research, analysis, and writing. The letter grade for HISTORY 499 and the level of Honors with which the student will be graduated (i.e., ""Honors,"" ""High Honors,"" ""Highest Honors"") are based on the evaluations of the thesis. Theses handed in more than two weeks past the due date are not eligible for an Honors rank.","de Pee,Christian",HISTORY,499,"Winter 2022, ",Section 001, - Writing a Thesis: Methods of Historical Research,1 - 6,ULWR,"Honors, Independent",With permission of department.,"Honors students, HISTORY 498, senior standing.",,May be repeated for a maximum of 6 credit(s).  
Honors Core in Social Science,"This course examines violence and its relationship to oil as a non-renewable natural resource. The course will focus on the close examination and comparison of discourses and practices concerned with resource extraction, resource distribution, energy security, and ‘modernity’ in the United States, North America, Africa, Europe, the Middle East and Latin America. Emphasis will be on case studies on oil as a non-renewable natural resource and how its extraction has contributed to reshaping livelihoods, energy security and creating spaces of violence as well as the possibilities for ‘development’. The course investigates how oil explorations in postcolonial states have given rise to projects of ‘nation building’, state-making and challenges of governance that continue to confront and reshape the idea of what constitutes the ‘nation’. We will focus on how abundant oil resources have changed the ‘face’ of the state and its people bringing about discourses of power, culture, energy security, and modernity. We will also focus on how extraction of oil constantly produces violence and challenges to state power over its control. We will investigate how such conflicts, sometimes violent, have and continue to redefine state, multinational corporations, and communal production of power in resource extractive enclaves around the world. At the end, we will ask ""what if there is no oil""?","Adunbi,Omolade",HONORS,230,"Winter 2022, ",Section 001," - Violent Environments: Oil, Development, and the Discourse of Power",4,SS,Honors,,,,May be elected twice for credit.  May be elected more than once in the same term.
Honors Core Writing in Humanities,"From Socrates to cyborgs, we explore the nature of consciousness through classical and contemporary works of philosophy. Inspired by Westworld’s speculation over humans’ robotic nature, we will examine attention management, memory degradation, and questions of free will. This immersive experience in the humanities and philosophy seeks to examine what classic works have to respond to the challenges arising around new technology today in order to discover both alternative accounts to the western tradition and to understand overlooked possibilities within it. This course assumes you have watched the entirety of season 1 (on reserve at Askwith Media Library, 2nd floor, Shapiro Library—up to four people at a time can watch onsite, bring UMID). ","Hoffmann,George P",HONORS,241,"Winter 2022, ",Section 001, - Westworld and Philosophy of Mind,4,"HU, FYWR",Honors,,,,May be elected twice for credit.  May be elected more than once in the same term.
Honors Introduction to Research,"The opportunity is created to enable highly qualified underclassmen to elect a course for independent, guided study under the direction of a professor.",,HONORS,290,"Winter 2022, ",Section 001,,1 - 4,,"Honors, Independent",With permission of instructor.,Junior or Senior honors program.,"F, W, Sp, SS, Su.",May be repeated for a maximum of 8 credit(s).  
Honors Introduction to Scientific Research,A research tutorial course in which the participating student serves as a research assistant for a staff scientist. Valuable research experience and a more personal association with the University research program are provided. Each student is expected to work about four hours a week for each credit.,,HONORS,291,"Winter 2022, ",Section 001,,1 - 4,,"Honors, Independent",With permission of instructor.,Open to Honors students. Permission of instructor.,"F, W, Sp, SS, Su.",May be repeated for a maximum of 8 credit(s).  
Honors Introduction to Scientific Research,A research tutorial course in which the participating student serves as a research assistant for a staff scientist. Valuable research experience and a more personal association with the University research program are provided. Each student is expected to work about four hours a week for each credit.,,HONORS,292,"Winter 2022, ",Section 001,,1 - 4,,"Honors, Independent",With permission of instructor.,Permission of the Honors Program.,,May be repeated for a maximum of 8 credit(s).  
Junior Honors Research,Independent research under supervision of faculty.,,HONORS,390,"Winter 2022, ",Section 001,,1 - 4,,"Honors, Independent",With permission of instructor.,Permission of the Honors Director.,"Continuing Course.  Y grade can be reported at end of the first-term to indicate work in progress. At the end of the second term of HONORS 490, the final grade is posted for both term's elections.  F, W, Sp/Su, Sp, Su.",May be repeated for a maximum of 8 credit(s).  
Senior Honors Research,Independent research under supervision of faculty. Includes preparation of undergraduate thesis.,,HONORS,490,"Winter 2022, ",Section 001,,1 - 4,,"Honors, Independent",With permission of instructor.,Open to upperclass Honors concentrators. Permission of instructor.,"Continuing Course.  Y grade can be reported at end of the first-term to indicate work in progress. At the end of the second term, the final grade is posted for both term's elections. F, W, Sp/Su, Sp, Su.",May be repeated for a maximum of 8 credit(s).  
Neurodevelopmental Disorders,"This seminar and reading course is focused on cellular and molecular aspects of mammalian developmental neurobiology. Genetic and epigenetic principles underlying the emergence and maintenance of the mammalian nervous system will be explored in the context of human disorders that lead to structural brain abnormalities, intellectual disability and autism. The intent of this course is to present current topics in developmental neuroscience in the context of animal models and human diseases that have contributed to our understanding of the biochemical, molecular and cellular processes of brain development and function.","Kwan,Kenneth",HUMGEN,480,"Winter 2022, ",Section 001,,3,BS,,,BIOLOGY 225.,,May not be repeated for credit.
Computational Genomics,"Introduction to the theory and practice of genomic data analysis.  Includes DNA sequence mapping and assembly, variant calling, gene expression analysis, and gene network analysis.  Course will introduce use of Python for manipulation of data.  Course project will require use of existing genomics tools on a distributed linux compute cluster.","Mills,Ryan Edward",HUMGEN,551,"Winter 2022, ",Section 001,,3,BS,,,Experience with basic concepts in genetics and molecular biology.,,May not be repeated for credit.
"Germ Wars, Asthma and the Food Allergy Epidemic","This course introduces the student to the growing epidemic of severe allergic diseases, such as food allergies. Course lectures and discussions will focus on the advances in immunology and public health that have led to a decrease in infectious diseases but have been associated with an increase in hypersensitivity diseases, such as asthma and food allergies.","Huffnagle,Gary B",IHS,340,"Winter 2022, ",Section 001,,3,ULWR,,,Introductory Biology or AP Biology credit.,,May not be repeated for credit.
Topics in Interdisciplinary Studies,"In this one-credit mini-course, we will explore how arts and exhibitions activate research within the humanities, establishing a space for informed and inclusive public engagement. This will include discussions about art, exhibition, and the institution during the Pandemic, and how this moment offers a pivot point for new ways of thinking and responding through the arts. Together, we will consider the mechanism of “gallery” as a portal for an outward gaze, addressing the challenges of our global community through creativity, collaboration, and outreach.","Krugliak,Amanda J",INSTHUM,311,"Winter 2022, ",Section 001, - Provocations and Other Acts: Arts and Humanities as Social Practice,1 - 4,HU,,,,Meets 10/20/21 - 12/10/21.   (Drop/Add Deadline 11/02/21.).,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
Topics in Interdisciplinary Studies,Seminar for undergraduates in interdisciplinary study. Taught by one of the Institute's resident fellows and crosses at least two fields of study.,"Traisnel,Antoine Gabriel",INSTHUM,311,"Winter 2022, ",Section 003, - Octavia Butler's Parable of the Sower,2,HU,,,,Meets 10/20/21 - 12/10/21.   (Drop/Add Deadline 11/02/21.).,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
Introduction to International Studies,"This is the introductory core course for the International Studies major at the University of Michigan. The course explores human rights, human development, and human security in historical and comparative perspective using multiple disciplinary approaches. The curriculum is divided into modules that cover:","Tsai,Howard",INTLSTD,101,"Winter 2022, ",Section 001,,3,SS,,,,,May not be repeated for credit.
International Studies Special Topics,"This class is about exploring your curiosity, discovering your purpose and working on a plan of action to live it. In particular, one way to explore your curiosity and live your purpose is to pursue an internship that will be meaningful to you, and our class will help you develop skills and tools to navigate your step-by-step plan of action.","Sula,Klementina Xhemal",INTLSTD,170,"Winter 2022, ",Section 001, - Network Your Way to an International Internship and Career,1,,,,,,May be elected twice for credit.  
"Death, Immortality, and Afterlife","“What makes us human?” We may think that it is our ability to use language, or our capacity for abstract thinking, making history, crafting art, and developing religions, or is it our cognitive facility to conceptualize death and immortality? This course aims to answer these questions by resorting to the long and distant past, known as deep history, that spans from the prehistorical to the present. Realizing that this question goes beyond the capacity of any single academic discipline, we turn to history, cultural anthropology, archaeology, palaeontology, developmental psychology, comparative religions, art, and literature to explore the universal human search for the meaning of death and immortality. Cultural practices around death and immortality, like burial and mortuary rituals and telling stories about the afterlife, have marked the human experience since the emergence of homo sapiens. This course maps such practices to probe into the uniqueness of human beings compared to our closest hominid ancestors, especially the Neanderthals, to ask if they also have ritual burials, and if they so, how does this change our definition of being human. We then turn to the beginnings of the religious expression in prehistory leading to the foundations of the world’s major religions. Finally, we end by exploring how present communities imagine, negotiate, and ritualize the deaths of the living and the lives of the dead.","Al-Rustom,Hakem Amer",INTLSTD,209,"Winter 2022, ",Section 001,,3,ID,,,,,May not be repeated for credit.
Topics in International Studies,"This course is an introduction to the field of global health. We will develop a toolkit of historical and analytical approaches for identifying and managing practical issues that arise in global health interventions. We will then apply these tools to case studies from around the world, using a biosocial model drawing on a range of disciplines (including anthropology, clinical medicine, history, public health, economics, and delivery science). Finally, students will use these analytical methods to construct their own consult-style biosocial analysis of a contemporary global health intervention, both as an educational tool and as a portfolio component for further work in global health or related fields. With attention to historical precedent and a critical sociology of knowledge, we will explore how global health problems are defined and constructed, and how global health interventions play out in expected and unexpected ways.","Stonington,Scott",INTLSTD,301,"Winter 2022, ",Section 001, - Concepts in Global Health,4,,,,INTLSTD 101.,,May be elected twice for credit.  May be elected more than once in the same term.
Latin America: The National Period,"Latin America’s history is tremendously, and increasingly, significant to global politics, culture, and economic trends. Sharing a hemisphere with the United States, Latin Americans have had especially close and complex relationships with their northern neighbor. Yet many in the United States possess only a superficial understanding of the region’s diverse multicultural societies. This course will introduce students to how modern Latin American nations were formed after the region’s independence, focusing especially on how people of diverse ethnic, political, and economic affiliations have struggled to shape their societies ’ politics and cultures over the past two centuries. Lectures and class discussions will consider processes that affect the hemisphere as a whole, then zero in on unique features and experiences of specific nations or regions, with particular attention to Mexico, Central America, the Andean nations, Argentina, Chile, and Brazil. Students proficient in Spanish may earn one additional credit by enrolling in the Spanish discussion section (004). This section, conducted entirely in Spanish, will include discussion of the regular course readings as well as short Spanish texts. 

For more information about how this course may count toward the Spanish major or minor requirements, students should visit the Romance Languages and Literature website.Course Requirements:Assignments include two short papers, two unit tests and a take-home final exam.Intended Audience:All undergraduates.Class Format:Lecture and discussion.","Alberto,Paulina Laura",INTLSTD,348,"Winter 2022, ",Section 001,,4,"SS, RE",,,,,May not be repeated for credit.
"Chinese Food in Crisis: Health, Ecology, and Identity in an Age of Globalization","The current Chinese diet is nothing like it was fifty years ago. Today, Western influence makes itself felt in the diets of a billion Chinese– evinced by the ubiquity of fast food chains like KFC in urban malls, the milk cartons and sugary drinks downed by school-age children, and pork and beef manufactured through industrial systems of food production. Critics charge that the Westernization of the Chinese diet has contributed to expanding waistlines, skyrocketing rates of diabetes, cardiovascular disease, and cancer. Experts also blame Westernized cuisine and food production for the destruction of the Chinese environment and the countryside. Food critics blast Westernization for the erosion of a venerable Chinese culinary tradition. But is any of this true? This course will evaluate the impact of dietary Westernization from an interdisciplinary perspective, considering its implications for health, environment, and national identity. All readings will be in English.","Brown,Miranda D",INTLSTD,351,"Winter 2022, ",Section 001,,3,ID,,,"ASIAN 258, ASIAN 366, or coursework in Chinese Studies or Sustainability.",,May not be repeated for credit.
International and/or Comparative Topics in the Humanities, ,"Aizman,Ania",INTLSTD,384,"Winter 2022, ",Section 001, - Imagining Home in Socialist and Capitalist Societies,3,HU,,,INTLSTD 101.,,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
International and/or Comparative Topics in the Social Sciences,"In this class you will learn about the effects of globalization on indigenous communities of South America. Is globalization a good or bad thing for indigenous communities? For example, should we allow transnational corporations to mine indigenous lands? Should foreign organizations, like those from US universities, go and “help” indigenous communities? What about the free flow of goods, ideas, and services through the internet and social media?","Tsai,Howard",INTLSTD,385,"Winter 2022, ",Section 001, - Indigenous Communities vs Globalization in South America,3,SS,,,INTLSTD 101.,,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
International and/or Comparative Topics in the Social Sciences,"Why are some countries considered rich and others poor? Where does the term Global South come from and how can we use it to address pressing global poverty issues? This course answers these questions by introducing students to major concepts and debates in the sociology of development. The first half of the course familiarizes students with the historical roots of contemporary global inequalities, starting with the legacies of colonialism, the construction of the post-World War II world order, and the rise of neoliberalism. We will also compare major theories of development, including modernization, dependency, and world-systems. The second half of the course surveys different topics in the study and practice of development as it connects to poverty and inequality in countries of the so-called Global South, with the aim to critically approach themes such as gender, cash transfers, microcredit, and public health from a sociological perspective.","de Souza Leao,Luciana",INTLSTD,385,"Winter 2022, ",Section 002, - Poverty and Inequality in the Global South,3,SS,,,INTLSTD 101.,,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
International and/or Comparative Topics in the Social Sciences,International and/or comparative topics in the Social Sciences.,"
                                                    AMCULT
                                                    310
                                                    -
                                                    Ethnic Studies, Section
                                                    002",INTLSTD,385,"Winter 2022, ",Section 003, - Transnational Feminism,3,SS,,,INTLSTD 101.,,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
International and/or Comparative Topics in the Social Sciences,"This course offers students the tools they need to understand current events in Africa in historical perspective. The issues that define African politics today are shaped by the economic, political and social changes that attended the nineteenth and twentieth centuries. Any student of political science, economics, psychology, business or literature who wishes to understand Africa must study its history, for that history sets the stage for the present.","Peterson,Derek R",INTLSTD,385,"Winter 2022, ",Section 004, - Modern Africa,4,SS,,,INTLSTD 101.,,May be repeated for a maximum of 10 credit(s).  May be elected more than once in the same term.
Directed Studies,This course will allow students to pursue independent study and /or gain research experience under the direction of a faculty member.,,INTLSTD,391,"Winter 2022, ",Section 001,,1 - 4,,Independent,With permission of instructor.,,,May be elected three times for credit.  
International Studies Undergraduate Internship,"The INTLSTD 399 course is designed for students interested in experiential learning. Such learning requires two components. First, engaging in an international internship and, second, evaluating the experiences from that internship to draw out the lessons learned. In the course, students will focus on evaluating their experiences. Students will critically assess the lessons learned from the internship to arrive at a broader understanding of their career aspirations and the role of their education in helping them achieve those goals. Please email Dr. Anthony Marcum at amarcum@umich.edu with any questions.",,INTLSTD,399,"Winter 2022, ",Section 001,,1 - 4,,"Experiential, Independent",With permission of department.,INTLSTD 170.,,May be elected twice for credit.  
International Studies Advanced Seminar,This course takes an interdisciplinary approach to studying human smuggling and human trafficking.,"Uehling,Greta L",INTLSTD,401,"Winter 2022, ",Section 001," - Human Smuggling, and Human Trafficking in International and Comparative Perspective",3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,This course takes an interdisciplinary approach to studying human smuggling and human trafficking.,"Uehling,Greta L",INTLSTD,401,"Winter 2022, ",Section 002," - Human Smuggling, and Human Trafficking in International and Comparative Perspective",3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"Climate change and urbanization are changing how people interact with the natural and built environment. This seminar will explore how humans have thought about, constructed, and manipulated their environments across cultures and over time. Questions we will consider include: Can the built environment solve problems like poverty and the spread of disease? Do forests think? Are humans a force of nature? A connecting theme is how racial and ethnic identities, levels of economic development, spirituality, and religion have shaped relationships between people and landscapes. The central goal is to develop an appreciation for both the harmful and the innovative ways that aesthetics, technology, and power shape human-environment relations. Course materials include readings selected from history, geography, anthropology, and architecture, as well as painting, photography, and film. As a result of our interdisciplinary approach, students will learn how landscape design expresses philosophical concepts; be able to critically evaluate the Anthropocene concept; understand how symbolic violence is carried out through the structure of refugee camps; and gain tools for analyzing the intersection of climate, power, and migration.","Uehling,Greta L",INTLSTD,401,"Winter 2022, ",Section 003," - People, Land, and Time",3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"States violate human rights and commit mass atrocities during wars, interventions, and revolutions. These transgressions create two difficult dynamics for a transitioning society. First, these violations leave populations struggling to coexist with both their former assailants and the state that made such violence possible. Second, the memory of these atrocities often compel some actors to demand that the responsible individuals be held accountable for their actions. Reconciling the two is a difficult process that can contribute to, or undermine, efforts to rebuild. Hence, this course analyzes the problems facing societies with past human rights violations, the numerous options they have at their disposal to engage these abuses, and the political, legal, economic, and moral ramifications of each choice.","Marcum,Anthony Scott",INTLSTD,401,"Winter 2022, ",Section 004, - Pursuing Accountability: Issues and Conflicts of Justice in Reconstruction,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"The history of globalization is written in the breakfast/lunch/dinner you are about to eat: tomato and corn originated from Mesoamerica, potato from the Andes, cattle from the Near East, chicken from Southeast Asia, coffee from North Africa, and olives from the Mediterranean. And that’s just the ingredients. How chefs and cooks around the world combine those raw meat and veggies to prepare delicious dishes – that’s another story. In this class we explore the mouth-watering history and prehistory of how, in Neolithic times, humans made the first genetically modified crops and animals through selection and domestication; how, in the age of empires and globalization, produce were exchanged and traded across continents; and how, in the modern era of cosmopolitan multiculturalism, “Country X-inspired” dishes can earn you praise or ridicule (sorry, Jamie Oliver). We also cover issues of food security, food sovereignty, impact of climate change on food supply, and unequal access to food. Some assignments are based on students making a dish; you can demonstrate your culinary skills to the class by cooking at home and broadcasting your kitchen on Zoom. This is a required course for the Foodie Studies major.","Tsai,Howard",INTLSTD,401,"Winter 2022, ",Section 005, - A Cosmopolitan History of Food,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"In this class, we will challenge our assumptions about the “end of life” by examining its meanings and practices in various cultural contexts. When does life begin and when does it end? What happens to us when we die? Are those with declining cognition, or in vegetative states, best conceived as full persons or as something else? What are the roles of elders in different societies? What are the roles of those who have already died? Ultimately, what aspects of the end of life are universal, and what aspects are socially constructed? In this course, we will delve into the social sciences, the arts, and our own qualitative research projects, seeking insights about the nature of aging, dying and caregiving. We will address life and death in the abstract and the concrete, bringing our inquiries to bear on policy, medical decision-making, and caregiving for those navigating the transitions inherent in the end of life.","Stonington,Scott",INTLSTD,401,"Winter 2022, ",Section 006, - The End of Life in Cross-Cultural Perspective,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,The International Studies Advanced Seminar will target students pursuing the International Studies major or minor. The seminar is a variable content course designed to bring an interdisciplinary perspective to the study of a topic of international significance. Some seminars will be team-taught and some will be taught by faculty with appointments sponsored by the International Institute. Seminars may occasionally be taught by visiting international scholars.,"Fariss,Christopher Jennings",INTLSTD,401,"Winter 2022, ",Section 007, - Human Rights,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"The goal of this course is to go deeper into the major themes of world politics and international affairs, emphasizing strategic interactions, using game-theoretic and active problem-solving approaches. Students will learn to both understand and interpret international relations as strategic games between international actors, applying the clarifying analytic rigor of formal models, and also learn to construct basic models of strategic situations for themselves. We cover several broad topics, including the use of economic statecraft; the domestic and foreign causes of war; the design and effectiveness of international organizations, the root causes of civil war and revolutionary change; the unique problem of terrorist conflict in the modern world; global trade, finance, foreign aid, and the politics of economic interdependence; human rights and the growth of international law; and the global management of the environmental commons.","Joshi,Ishan",INTLSTD,401,"Winter 2022, ",Section 008, - International Relations and Game Theory,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"This class explores the environment as a subject of the Humanities. In engaging with current environmental debates that have strongly influenced by scientists and policy makers, this course foregrounds the role of culture and history. Besides taxing issues such as democracy, human rights, trade, economic growth, and regional cooperation, developmental assessments of Southeast Asia have slowly included the study of the environment. But environmental crisis is not merely a developmental problem. To tackle the deep roots of environmental crises, this course introduces you to heated regional issues, ranging from resources conflicts on the Mekong and in the South China Sea to natural disasters like tsunami, earthquakes, coastal flooding, and disease. It further offers you a historical perspective into the protracted impact of environmental changes from the region’s early history to the twenty-first century.","Phung,Hieu",INTLSTD,401,"Winter 2022, ",Section 009, - Environmental Crises in Southeast Asia: Past and Present,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"War is not a gender-neutral space. Wartime actors are marked by their gender and gender itself is re-imagined in the context of war. This course explores how narratives of gender difference, state power, and militarism overlap, disquiet, and mutually reinforce each other. Particular attention will be paid to several theoretical explorations: women as the bearers of culture, feminist critiques of war, refugee crises in which the camp is an alternative to the home, how masculinity is redefined during wartime, narratives that deploy the assumption of violent conflict as the “natural"" ordefault mode of human interaction as compared to narratives that turn on the assumption of peace as the ""natural"" or default mode, and how wartime conditions can advance or limit claims about gender equality and gender justice. We will combine a more theoretical analysis with some current debates: women in combat in the U.S. military, rape in the U.S. military, rape as a crime of war, and the history of women in the peace movement.","Manuel,Anne M",INTLSTD,401,"Winter 2022, ",Section 010, - Women and War: Contemporary and Historical Perspectives,3,,,,,,May be elected twice for credit.  
International Studies Advanced Seminar,"One way to define literature-and it's as good a way as any--is to call it a carefully crafted thing made from language by imaginative people. And, if you believe centuries of writers, “literature” means written language, not spoken. The word “literature” itself is built on the Latin word for letter. ","Brown,Catherine",INTLSTD,401,"Winter 2022, ",Section 011, - Circulating Worlds,3,,,,,,May be elected twice for credit.  
