course,description,experience_type
Listening to Puerto Rico Teach-Out,"On September 20, 2017, Hurricane María struck the island of Puerto Rico with catastrophic force, shattering lives, communities, infrastructure and the physical environment. One year later, Puerto Rico remains in the grips of an ongoing and systematic crisis. 

In June 2018, teams from the University of Michigan and the University of Notre Dame traveled to Puerto Rico  to film testimonies from Puerto Ricans from all walks of life. In this Teach-Out, you will hear powerful narratives of loss and recovery, abandonment and resilience, failure and hope as you come to better understand Puerto Rico’s past, present, and future. 

These individual testimonials are complemented by resources that are meant to deepen your understanding of an urgent multidimensional crisis that involves policy, culture and history,  political economy, environmental loss, civil infrastructure, public health, and human dignity. In this teach-out, we spotlight  a number of successful organizations, strategies and solutions that are contributing to Puerto Rico’s recovery. 

Understanding begins with listening. But “listening” is not just about hearing people’s words: it also implies taking notice of, and acting on, what people say. Shaped by the individual experience of everyday life, the Listening to Puerto Rico Teach-Out invites you to hear many voices from a distressed but resilient island and discover how you can contribute to the island’s recovery. 

This Teach-Out is a collaboration between the University of Michigan and the University of Notre Dame. 

Please join us in listening to Puerto Rico.",teachout
MADS Python and Statistics Entrance Assessment,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Python and Statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this multi-subject assessment in the test environment. Additionally, participants of this course are asked to take a graded, multi-subject assessment which will count as their attempt towards completing the required assessment.",course
MADS Python Entrance Assessment A,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Python assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this multipart assessment in the test environment. Additionally, participants of this course are asked to take a graded, multipart assessment which will count as one of their attempts towards completing the required python assessment. If a participant passes they are not required to take additional Python assessments, but if they do not pass they will be invited to take another instance of the multipart Python assessment.",course
MADS Python Entrance Assessment B,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Python assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this multipart assessment in the test environment. Additionally, participants of this course are asked to take a graded, multipart assessment which will count as one of their attempts towards completing the required python assessment. If a participant passes they are not required to take additional Python assessments, but if they do not pass they will be invited to take another instance of the multipart Python assessment.",course
MADS Python Entrance Assessment C,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Python assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this multipart assessment in the test environment. Additionally, participants of this course are asked to take a graded, multipart assessment which will count as one of their attempts towards completing the required python assessment. If a participant passes they are not required to take additional Python assessments, but if they do not pass they will be invited to take another instance of the multipart Python assessment.",course
MADS Python Entrance Assessment D,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Python assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this multipart assessment in the test environment. Additionally, participants of this course are asked to take a graded, multipart assessment which will count as one of their attempts towards completing the required python assessment. If a participant passes they are not required to take additional Python assessments, but if they do not pass they will be invited to take another instance of the multipart Python assessment.",course
MADS Statistics Entrance Assessment,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course will be given access to practice Statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice this assessment in the test environment. Additionally, participants of this course are asked to take a graded, Statistics assessment which will count as their attempt towards completing the required assessment.",course
MADS Statistics Entrance Assessment A,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course are given access to practice statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice the assessment in the test environment. Additionally, participants of this course are asked to take a graded assessment, which counts as one of their attempts towards completing the required statistics assessment. If a participant passes they are not required to take additional statistics assessments, but if they do not pass they will be invited to take another instance of the statistics assessment.",course
MADS Statistics Entrance Assessment B,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course are given access to practice statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice the assessment in the test environment. Additionally, participants of this course are asked to take a graded assessment, which counts as one of their attempts towards completing the required statistics assessment. If a participant passes they are not required to take additional statistics assessments, but if they do not pass they will be invited to take another instance of the statistics assessment.",course
MADS Statistics Entrance Assessment C,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course are given access to practice statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice the assessment in the test environment. Additionally, participants of this course are asked to take a graded assessment, which counts as one of their attempts towards completing the required statistics assessment. If a participant passes they are not required to take additional statistics assessments, but if they do not pass they will be invited to take another instance of the statistics assessment.",course
MADS Statistics Entrance Assessment D,"This course is a component of the University of Michigan School of Information’s entrance assessment for the Masters of Applied Data Science program. Participants of this private course are given access to practice statistics assessments to gain a better understanding of what skills and knowledge are expected of incoming students, and to practice the assessment in the test environment. Additionally, participants of this course are asked to take a graded assessment, which counts as one of their attempts towards completing the required statistics assessment. If a participant passes they are not required to take additional statistics assessments, but if they do not pass they will be invited to take another instance of the statistics assessment.",course
"Making Successful Decisions through the Strategy, Law & Ethics Model","Successful decision making is based on three key pillars:  strategy, law and ethics.  After taking this course you will be able to use a practical framework based on these three elements to make successful business, personal and leadership decisions.  

This course opens with an example of a leadership decision:  President Barack Obama’s strategic decision to capture or kill Osama bin Laden.  The course then shows how the three elements can be used to prevent a tragedy when making a personal decision.  

The rest of the course focuses on making successful business decisions.  In essence, to achieve business and career success, you must create value (strategy) and manage risk (law) in a responsible manner (ethics). 

Because the Law Pillar plays a central role in the three pillar model, the course includes practical legal briefings (with many examples) on the key elements of business success.  Specifically, the course shows you how to: 

•\tattract the best employees, 
•\tdevelop successful products, 
•\tcreate new business models, 
•\tprotect intellectual property, 
•\tcreate contracts that achieve business goals, and 
•\tuse dispute resolution processes that improve business relationships. 

Using a global perspective, the course also provides an introduction to international business culture for learners from the United States, and an introduction to the U.S. business culture for learners from outside the U.S.",course
"Making Successful Decisions through the Strategy, Law & Ethics Model","<h2 id=""learn-how-to-make-effective-decisions-using-the-strategy-law-and-ethics-model"">Learn how to make effective decisions using the strategy, law and ethics model</h2>

<p>Effective decision making is based on the three key pillars of strategy, law, and ethics. This practical, framework-based course from the University of Michigan will show you how to combine these three pillars and ultimately make successful business, personal and leadership decisions.</p>

<h2 id=""discover-how-the-three-elements-of-strategy-law-and-ethics-can-be-combined-as-a-decision-making-model"">Discover how the three elements of strategy, law and ethics can be combined as a decision making model</h2>

<p>You’ll start the course with an example of a leadership decision; ex-president Barack Obama’s strategic decision to kill Osama Bin Laden, the founder of the terrorist organisation Al Qaeda.</p>

<p>Using a global perspective, you’ll then be shown how the three elements of strategy, law and ethics can be combined and used to prevent a tragedy.</p>

<h2 id=""understand-how-to-make-successful-business-decisions-through-the-model"">Understand how to make successful business decisions through the model</h2>

<p>The rest of the eight-week course will focus on showing you how to make successful business decisions through the strategy, law and ethics model. This concerns creating value (strategy) and managing risk (law) in an effective manner (ethics).</p>

<p>Using practical legal briefings and many case studies, you’ll be shown how to attract the best employees to a business, develop successful products, create new business models, protect intellectual property, create contracts that achieve business goals and use dispute resolution processes to improve business relationships.</p>

<h2 id=""learn-from-experts-in-the-decision-making-field-at-the-university-of-michigan"">Learn from experts in the decision-making field at the University of Michigan</h2>

<p>As the number one ranking public research university within the United States, the University of Michigan has been a leader in research, learning, and teaching for more than 200 years.</p>

<p>You’ll be guided throughout by experts in the field, and will cover both US and international decision making strategies.</p>

<p>This course is suited for learners who are looking to understand how to make successful business decisions (both from the US and international perspectives) using the strategy, law and ethics model.</p>

",course
Managing a Diverse and Inclusive Workplace for Public Libraries,"<p>Learn management skills to support workplace diversity and inclusion in a public library setting.</p>
<p>You will learn about theories and frameworks that explain the underlying mechanisms of the impacts of diversity and learn how to understand and address the needs of women and underrepresented minorities (e.g. race, color, national origin, religion, sex, gender identity, marital status, age, sexual orientation, and citizenship).</p>
<p>You will learn how employment practices such as recruitment, selection, promotion, salary, training and development impact an organization’s ability to attract, retain, and manage a diverse workforce.</p>
<p>Lastly, you will recognize what organizational changes can be made to help organizations maximize the potential of all workers.</p>",course
Managing Talent,"In this course, you will learn best practices for selecting, recruiting, and onboarding talent. You will also learn about the key approaches to measuring performance and evaluating your employees. In addition, you will learn how to develop and coach your talent so that they can realize their full potential at work. Altogether, you will gain a thorough understanding of the complete cycle of managing talent and creating a robust talent pipeline for your team and organization.

Managing and developing talent is one of the top 3 issues on the minds of CEOs from around the world. In fact, CEOs cite managing and developing their leadership talent as the issue that is most important to the future success of their business but that their organizations are least capable of addressing effectively. This course will provide you with the insights, frameworks and tools to effectively manage and develop talent in your teams and organizations.",course
Managing Talent,"<h2 id=""explore-the-importance-of-developing-your-talent"">Explore the importance of developing your talent</h2>

<p>CEOs cite managing and developing their leadership talent as the most important issue for the future success of their business.</p>

<p>On this four-week course, you’ll gain the insights, frameworks, and tools to effectively manage and develop talent in your teams and organisation.</p>

<h2 id=""develop-skills-in-onboarding-recruiting-and-retaining-talent"">Develop skills in onboarding, recruiting, and retaining talent</h2>

<p>You’ll learn the best practices for selecting and onboarding your talent, as well as coaching skills to help them realise their full potential.</p>

<p>To help further your employees development, you’ll learn the key approaches to measuring and evaluating performance.</p>

<p>With these insights, you can tailor your managerial style to your employees to ensure each team member excels.</p>

<h2 id=""increase-your-leadership-skills-with-experts-at-michigan-university"">Increase your leadership skills with experts at Michigan University</h2>

<p>By the end of this course, you’ll have a thorough understanding of the complete cycle of managing talent. Learning alongside the leadership experts at Michigan University, you’ll understand how to create an effective talent pipeline for your team and business.</p>

<p>This course is part of the Leading People and Teams ExpertTrack, a comprehensive set of leadership courses to help you develop in your role as team leader.</p>

<p>This course will suit you if you want to learn the skills to manage talent including the selection, recruiting, and onboarding process.</p>

",course
Managing Talent (LPT Iterations),"In this course, you will learn best practices for selecting, recruiting, and onboarding talent. You will also learn about the key approaches to measuring performance and evaluating your employees. In addition, you will learn how to develop and coach your talent so that they can realize their full potential at work. Altogether, you will gain a thorough understanding of the complete cycle of managing talent and creating a robust talent pipeline for your team and organization.

Managing and developing talent is one of the top 3 issues on the minds of CEOs from around the world. In fact, CEOs cite managing and developing their leadership talent as the issue that is most important to the future success of their business but that their organizations are least capable of addressing effectively. This course will provide you with the insights, frameworks and tools to effectively manage and develop talent in your teams and organizations.",course
Master of Applied Data Science Student Orientation,This is a private course for the students of the U-M Master of Applied Data Science degree program. The course provides an overview of the program and important steps for students to take in order to be successful.,course
Melting Ice Rising Seas Teach-Out,"In this Teach-Out you will experience some of our extraordinary planet's natural beauty and examine how climate change impacts one of the most vulnerable places on earth, the isolated Arctic island of Greenland. In June 2019, a team of students, faculty, and staff from the University of Michigan embarked on an expedition to conduct experiments and learn about how climate change is impacting this area of the planet.  In this Teach-Out, you will join a group of students on their personal and professional journeys through Greenland, you will learn from leading climate scientists about how climate change is impacting Greenland and other parts of our planet, and will have the opportunity to share your stories about how you engage with the natural environment in your own backyard.",teachout
Mental & Physical Health in Prisons & Beyond (Seeking Justice: Conversations on Incarceration),"<p>This module explores how physical and mental health and treatment, or lack thereof, impact the lives of incarcerated individuals, their families, and society as a whole.</p>

<p>To browse the video content, please click the lessons tab or the Start button above. If you find any errors, or have ideas for improvements, or future topics or interviewees, please submit them via the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfOW6BohaAAk_HiwBX5-G41Q7xhZJStZNFOO4StV6eLNgeu2A/viewform?usp=sf_link"" target=""_blank"">Error Reports, Comments, and Suggestions form.</a>
</p>

<p>
Please remember to join us in the Learning Community! For your convenience, here is a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfsggVqNieHhzEvHCHzsoJzgxmQJlOOPnukx5WBrpu8Hg-P0w/viewform?usp=sf_link"" target=""_blank"">link to the sign-up sheet</a>
</p>",course
Methods & Skills in Sustainability and Development: Program Evaluation,<p>Understanding the impact of policies and programs is critical for evaluating progress on sustainability and development efforts. This course reviews approaches to quantitative impact evaluation for highest causal attribution of policy/program impacts and reviews best practices for synthesis of evidence.</p>,course
Methods/Skills in Sustainability and Development,"The broad objective of this course is to learn about some of the most common methods that are useful in the field of sustainability and development. These methods will help you to collect, visualize, and analyze data, measure the impact of policies and programs, assess the life cycle impacts of given products, and understand how institutions can influence sustainability and development. All of these methods will help learners better synthesize evidence to evaluate progress on sustainability and development efforts.",course
Michigan Sport-Related Concussion Training Certification,"Welcome to the Michigan Sport-Related Concussion Training Certification. In this course, you will learn about five key components of sport-related concussions: identify medical emergencies, debrief the Michigan Youth Concussion Legislature, review rest and rehabilitation principles after a concussion occurs, understand the return to learn and return to school progressions, and finally become knowledgeable of the potential long-term consequences of head impact exposure on brain health. 

This course satisfies the state-mandated requirement for concussion training in the state of Michigan. In order to obtain the certificate, you must answer every question on the quiz correctly, which will be available at the end of this course. This course should take you approximately 20 minutes to complete.

The three lead instructors for this course, Dr. Steve Broglio, Dr. Matt Lorincz, and Dr. JT Eckner, are all affiliated with the Michigan Concussion Center, which strives to maximize societal and individual health through the relentless pursuit of concussion knowledge. Dr. Lorincz and Dr. Eckner are also affiliated with Michigan NeuroSport. The goal of Michigan NeuroSport is to inspire and implement solutions for prevention and treatment of sport-related concussions and their potential long-term consequences. 

Note: If you successfully pass the quiz at the end of this course, you'll still receive an official Michigan Sport-Related Training Certificate, even though a related ""Full Course, No Certificate"" message appears in enrollment. Furthermore, an additional Coursera completion certificate will not be issued.",course
Mindware: Critical Thinking for the Information Age,"Most professions these days require more than general intelligence. They require in addition the ability to collect, analyze and think about data. Personal life is enriched when these same skills are applied to problems in everyday life involving judgment and choice. This course presents basic concepts from statistics, probability, scientific methodology, cognitive psychology and cost-benefit theory and shows how they can be applied to everything from picking one product over another to critiquing media accounts of scientific research. Concepts are defined briefly and breezily and then applied to many examples drawn from business, the media and everyday life.

What kinds of things will you learn? Why it’s usually a mistake to interview people for a job. Why it’s highly unlikely that, if your first meal in a new restaurant is excellent, you will find the next meal to be as good. Why economists regularly walk out of movies and leave restaurant food uneaten. Why getting your picture on the cover of Sports Illustrated usually means your next season is going to be a disappointment. Why you might not have a disease even though you’ve tested positive for it. Why you’re never going to know how coffee affects you unless you conduct an experiment in which you flip a coin to determine whether you will have coffee on a given day. Why it might be a mistake to use an office in a building you own as opposed to having your office in someone else’s building. Why you should never keep a stock that’s going down in hopes that it will go back up and prevent you from losing any of your initial investment. Why it is that a great deal of health information presented in the media is misinformation.",course
Mindware: Critical Thinking for the Information Age,"<h2 id=""learn-how-to-think-critically-and-analytically"">Learn how to think critically and analytically</h2>

<p>This four-week critical thinking course presents basic concepts from statistics, probability, scientific methodology, cognitive psychology and cost-benefit theory and shows how they can be applied to everything from picking one product over another to critiquing media accounts of scientific research.</p>

<h2 id=""apply-concepts-of-probability-theory--the-scientific-method-and-microeconomics-to-judgments"">Apply concepts of probability theory,  the scientific method and microeconomics to judgments</h2>

<p>Most careers and professions these days require more than general intelligence. In addition, they require the ability to collect, analyse and think about data.</p>

<p>This course will teach you how the basic concepts of statistics and probability - including the concepts of variables, normal distribution, standard deviation, correlation, reliability, validity, and effect size - and how these can be applied into your daily life.</p>

<p>You’ll also learn how to conduct a cost benefit analysis, and will learn how to accurately assess whether two variables are related to one another, and how to avoid false or illusory correlations.</p>

<h2 id=""evaluate-and-critique-reports-of-scientific-findings-within-the-media-as-well-as-cognitive-biases"">Evaluate and critique reports of scientific findings within the media as well as cognitive biases</h2>

<p>You’ll then decipher why experiments provide far better evidence about causality than correlations, and will evaluate and critique reports of scientific findings within the media.</p>

<p>You’ll also reflect on the most pervasive and important cognitive biases (or inference procedures) that are both rapid and automatic, but which usually produce incorrect results. Ultimately, the end result of this course will help you to develop a broad understanding of how to make good decisions.</p>

<h2 id=""learn-from-critical-thinking-experts-at-the-university-of-michigan"">Learn from critical thinking experts at the University of Michigan</h2>

<p>You’ll be learning from leaders within the critical thinking field at the University of Michigan and will be given expert advice throughout.</p>

<p>This beginner’s course is suitable for anyone who wants to be able to reason better, understand logic and logical errors, and develop a better understanding of how to make good decisions.</p>

",course
Model Thinking,"We live in a complex world with diverse people, firms, and governments whose behaviors aggregate to produce novel, unexpected phenomena. We see political uprisings, market crashes, and a never ending array of social trends. How do we make sense of it? Models. Evidence shows that people who think with models consistently outperform those who don't. And, moreover people who think with lots of models outperform people who use only one. Why do models make us better thinkers? Models help us to better organize information - to make sense of that fire hose or hairball of data (choose your metaphor) available on the Internet. Models improve our abilities to make accurate forecasts. They help us make better decisions and adopt more effective strategies. They even can improve our ability to design institutions and procedures. In this class, I present a starter kit of models: I start with models of tipping points. I move on to cover models explain the wisdom of crowds, models that show why some countries are rich and some are poor, and models that help unpack the strategic decisions of firm and politicians. 

The models covered in this class provide a foundation for future social science classes, whether they be in economics, political science, business, or sociology. Mastering this material will give you a huge leg up in advanced courses. They also help you in life. Here's how the course will work. For each model, I present a short, easily digestible overview lecture. Then, I'll dig deeper. I'll go into the technical details of the model. Those technical lectures won't require calculus but be prepared for some algebra. For all the lectures, I'll offer some questions and we'll have quizzes and even a final exam. If you decide to do the deep dive, and take all the quizzes and the exam, you'll receive a Course Certificate. If you just decide to follow along for the introductory lectures to gain some exposure that's fine too. It's all free. And it's all here to help make you a better thinker!",course
Model Thinking,"In this class, you will learn how to think with models and use them to make sense of the complex world around us.",course
Model Thinking,"In this class, you will learn how to think with models and use them to make sense of the complex world around us.",course
Model Thinking,"In this class, you will learn how to think with models and use them to make sense of the complex world around us.",course
Moneyball and Beyond,"The book Moneyball triggered a revolution in the analysis of performance statistics in professional sports, by showing that data analytics could be used to increase team winning percentage. This course shows how to program data using Python to test the claims that lie behind the Moneyball story, and to examine the evolution of Moneyball statistics since the book was published. The learner is led through the process of calculating baseball performance statistics from publicly available datasets. The course progresses from the analysis of on base percentage and slugging percentage to more advanced measures derived using the run expectancy matrix, such as wins above replacement (WAR). By the end of this course the learner will be able to use these statistics to conduct their own team and  player analyses.",course
MTC - Beyond the Sustainable Development Goals (SDGs),"We’re excited you’re here! This course, “Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,” is the first course in the upcoming Sustainability and Development MasterTrack Certificate program (Fall 2020), but you can also take this course as a stand-alone learning opportunity. 

Sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity. In this course, we’ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the world’s most pressing problems like climate change, poverty and inequality, and biodiversity loss and ecosystem degradation. Rather than sustainability being a qualifier for development (e.g. sustainable development), we conceptualize Sustainability and Development as co-equal fields of inquiry and action that seek to build bridges between the natural, social and applied sciences and the humanities. When sustainability and development are placed on an equal footing, it requires us to think more explicitly about the trade-offs, co-benefits and synergies between them, which we will be exploring in depth in each week.

Throughout the course, you will be introduced to the theoretical currents in Sustainability and Development, and will garner an in-depth understanding of the United Nations’ 17 Sustainable Development Goals (SDGs). We will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of Sustainability Science.

In this course, we will explore three of the most pressing challenges undergirding the  Sustainable Development Goals (SDGs) including climate change, poverty and inequality, and ecosystem degradation and biodiversity loss, with case studies to guide and challenge our thinking. In the final week of the course, we will discuss the trade-offs, co-benefits and synergies between these challenges, especially as they relate to designing innovative solutions for achieving  our sustainability and development goals.

By the end of this course, you will be able to:
1. Understand and explain the world’s most pressing problems with a specific focus on poverty & inequality, ecosystem degradation and biodiversity loss, and climate change.
2. Critically analyze the Sustainable Development Goals (SDGs) and their relationship to the world’s most pressing problems.
3. Use frameworks and evidence necessary to develop solutions.
4. Assess relevant solutions that would help realize the SDGs and at the same time solve the pressing problems. 
5. Apply skills learned to implement solutions.",course
Negociações de sucesso: estratégias e habilidades essenciais (em Português),"Todos nós negociamos diariamente. No nível pessoal, negociamos com amigos, família, proprietários do imóvel em que moramos, vendedores de carro, funcionários, entre outros. A negociação também é a chave para o sucesso nos negócios. Nenhuma empresa consegue sobreviver sem contratos lucrativos. Dentro de uma empresa, as habilidades de negociação podem levar a avanços na carreira.

Este curso fornece uma introdução prática e holística às estratégias e habilidades que podem levar a negociações de sucesso na vida pessoal e nas transações de negócios. O curso cobre os quatro principais estágios da negociação: (1) planejamento, (2) negociação, (3) criação do contrato e (4) execução do contrato. 

Cada estágio analisa as principais questões que você deverá estar preparado para responder em negociações futuras, como:  
•\tQuais são os principais elementos em uma análise de negociação, incluindo o preço de reserva fixado, a meta de expansão, alternativas para o negócio em questão e a zona de acordo potencial?
•\tQue diretrizes devem ser seguidas ao confrontar questões de ética?
•\tQual é a sua fonte de poder nas negociações e como é possível aumentar o seu poder?
•\tQuais ferramentas psicológicas podem ser usadas durante as negociações e quais armadilhas psicológicas devem ser evitadas?
•\tQuais são as quatro principais questões de lei contratual que devem estar no checklist de negociação?
•\tQuais conceitos e ferramentas podem ser usados ao resolver controvérsias?  

Durante o curso, você assistirá a uma série de pequenos vídeos (que vão de 5 a 20 minutos) sobre cada estágio da negociação.  Os vídeos são interativos e incluem questões para testar o seu entendimento sobre estratégias e habilidades de negociação. O curso também inclui vídeos que dramatizam a arbitragem de uma controvérsia na área de construção e a mediação de uma controvérsia de software de robótica. 

Dependendo do seu planejamento, pode assistir aos vídeos ao longo de algumas semanas ou pode assisti-los todos de uma vez.  Um aluno que assistiu a todos os vídeos de uma vez concluiu que ""É uma série tão boa quanto Breaking Bad"".

Após assistir aos vídeos sobre os quatro principais estágios da negociação, você poderá participar de uma negociação individual que testará as suas qualificações como negociador.  Os vídeos finais do curso verificam a sua negociação e revisam os conceitos e as ferramentas tratados no curso.  Você também receberá feedback sobre o que faz de melhor como negociador e como pode melhorar.

This is a translated version. To join the original English version, please visit this page: https://www.coursera.org/learn/negotiation-skills",course
Negociación exitosa: Estrategias y habilidades esenciales (en español),"Todos negociamos diariamente. A nivel personal, negociamos con amigos, familia, propietarios, vendedores de autos y empleadores, entre otros. La negociación también es la clave del éxito comercial. Ninguna empresa puede sobrevivir sin contratos rentables. Dentro de una empresa, las habilidades de negociación lo pueden llevar a avanzar en su carrera. 

En este curso, aprenderá y practicará los cuatro pasos necesarios para lograr una negociación exitosa, con un módulo para cada paso: 
(1) Preparación: Planifique su estrategia de negociación 
(2) Negociación: Use las tácticas claves para el éxito 
(3) Cierre: Cree un contrato 
(4) Cumplimiento y evaluación: El juego final 

Para completar exitosamente este curso y mejorar su capacidad de negociar, deberá completar los tres pasos siguientes: 
(1) Mire los videos breves (que van de 5 a 20 minutos) de cada módulo. Los videos son interactivos e incluyen preguntas para evaluar su entendimiento de las estrategias y habilidades de negociación. Los videos se pueden acelerar o ralentizar para adaptarse al ritmo que prefiera escucharlos. Según sus horarios, puede ver los videos en unas semanas o verlos todos juntos. Un estudiante que vio el curso de una sola vez concluyó que ""es tan bueno como Breaking Bad"". 
(2) Complete la negociación del Módulo 6 para evaluar sus capacidad de negociación. Puede negociar con un amigo local o usar los Debates para encontrar un socio de otra parte del mundo. Su socio de negociación le brindará una devolución sobre sus capacidad de negociación. En el camino, puede resultarle útil utilizar esta aplicación móvil gratuita que está relacionada con el curso y contiene varias herramientas de planificación de la negociación. http://negotiationplanner.com/ 
(3) Tome el examen final. Para completar el curso exitosamente, debe responder correctamente el 80 % de las preguntas. Este examen es un examen de dominio, lo que significa que puede tomarlo las veces que quiera hasta que domine el material. 

Además, este curso incluye la opción de obtener un Certificado verificado (CV) a través de la verificación de su identidad y la finalización exitosa del curso. Un CV le proporciona un reconocimiento formal de sus logros en el curso e incluye el logo de la Universidad de Michigan. 

Si usted está considerando obtener un CV, debe completar el proceso de verificación antes de tomar el examen final. Puede elegir pagar los cargos asociados antes o después del examen. Para obtener más información acerca de los CV, visite: learner.coursera.help/hc/en-us/articles/201212399-Verified-Certificates 

El logo compuesto del curso se comparte con una licencia Creative Commons CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0/) y fue creado con las imágenes proporcionadas por cortesía de Flazingo Photos (http://bit.ly/1zOylRm) y K2 Space (https://www.flickr.com/photos/k2space/14257556613/in/set-72157644732478432).

This is a translated version. To join the original English version, visit this page: https://www.coursera.org/learn/negotiation-skills/",course
Negociación exitosa: Estrategias y habilidades esenciales (en español),"<p>Todos negociamos diariamente. A nivel personal, negociamos con amigos, familia, propietarios, vendedores de autos y empleadores, entre otros. La negociación también es la clave del éxito comercial. Ninguna empresa puede sobrevivir sin contratos rentables. Dentro de una empresa, las habilidades de negociación lo pueden llevar a avanzar en su carrera.<br />
En este curso, aprenderá y practicará los cuatro pasos necesarios para lograr una negociación exitosa, con un módulo para cada paso: <br />
(1) Preparación: Planifique su estrategia de negociación <br />
(2) Negociación: Use las tácticas claves para el éxito <br />
(3) Cierre: Cree un contrato <br />
(4) Cumplimiento y evaluación: El juego final </p>
<p>Para completar exitosamente este curso y mejorar su capacidad de negociar, deberá completar los tres pasos siguientes: <br />
(1) Mire los videos breves (que van de 5 a 20 minutos) de cada módulo. Los videos son interactivos e incluyen preguntas para evaluar su entendimiento de las estrategias y habilidades de negociación. Los videos se pueden acelerar o ralentizar para adaptarse al ritmo que prefiera escucharlos. Según sus horarios, puede ver los videos en unas semanas o verlos todos juntos. Un estudiante que vio el curso de una sola vez concluyó que ""es tan bueno como Breaking Bad"". <br />
(2) Complete la negociación del Módulo 6 para evaluar sus capacidad de negociación. Puede negociar con un amigo local o usar los Debates para encontrar un socio de otra parte del mundo. Su socio de negociación le brindará una devolución sobre sus capacidad de negociación. En el camino, puede resultarle útil utilizar esta aplicación móvil gratuita que está relacionada con el curso y contiene varias herramientas de planificación de la negociación. http://negotiationplanner.com/ <br />
(3) Tome el examen final. Para completar el curso exitosamente, debe responder correctamente el 80 % de las preguntas. Este examen es un examen de dominio, lo que significa que puede tomarlo las veces que quiera hasta que domine el material. </p>
<p>Además, este curso incluye la opción de obtener un certificado a través de la verificación de su identidad y la finalización exitosa del curso. Un certificade le proporciona un reconocimiento formal de sus logros en el curso e incluye el logo de la Universidad de Michigan.</p>",course
Outside the Internet,demo course,course
Overcoming Inequality and Polarization,"Inequality in different societies takes many forms from the social and political to the economic and material to the overt and implicit. This course will examine how inequality has changed over time, the relationship between inequality and wellbeing, and the factors that affect levels of inequality in different societies.",course
Pathways to Achieving Sustainable Energy for All,"<p>Access to affordable and sustainable modern energy is fundamental to human well-being. In this course, you will examine energy access in a global perspective and consider factors that have contributed to and hindered sustainable energy transitions.</p>",course
Pathways to Zero Hunger,"Food security will be increasingly challenged over the coming decades, due to growing populations, changing diets, and environmental change. In this class, we will understand the extent to which our current food system can sustain growing food demand in the face of these changes. We will discuss potential solutions for increasing food security and reducing hunger more sustainably, reducing pressures on the limited resources that remain on the planet.",course
Pathways to Zero Hunger,"<p>Food production is being increasingly challenged by environmental change including climate change and natural resource degradation. In this class, we discuss the different challenges our food systems face over the coming decades and sustainable ways that we may be able to overcome these challenges.</p>",course
Personnel Management for Public Libraries,"<p>This course, part of the Public Library Management Professional Certificate program, will explore skills needed for hiring and evaluating personnel to reflect your library's mission through an organizational culture that will thrive in your community.</p>
<p>Learners will understand the legal considerations when managing a diverse workforce.</p>",course
Police Brutality in America Teach-Out,"The tragic deaths of George Floyd, Breonna Taylor, and Ahmaud Arbery have sparked a wave of renewed protests against police brutality across the United States. These nationwide uprisings have transformed into an intense interest from the public around understanding systemic racism and abuse of power. Millions of Americans and people around the world are watching incidents of police violence and excessive force captured on video, but are looking to learn about the inequalities at the root of these incidents. While the calls of  Black Lives Matter protesters to #DefundThePolice are being heard for the first time by many Americans, they are part of a longstanding effort by communities and activists to reinvest in communities rather than policing and prisons. In this Teach-Out, you will learn about the history of police violence in America, become aware of laws and policies that prevent accountability, understand the demands of protesters, and gain the knowledge and tools to fight for change locally.",teachout
